sex,hdlngth,skullw,totlngth,taill,footlgth,age
1,94.10,60.40,89.00,36.00,74.50,8.00
0,92.50,57.60,91.50,36.50,72.50,6.00
0,94.00,60.00,95.50,39.00,75.40,6.00
0,93.20,57.10,92.00,38.00,76.10,6.00
0,91.50,56.30,85.50,36.00,71.00,2.00
0,93.10,54.80,90.50,35.50,73.20,1.00
1,95.30,58.20,89.50,36.00,71.50,2.00
0,94.80,57.60,91.00,37.00,72.70,6.00
0,93.40,56.30,91.50,37.00,72.40,9.00
0,91.80,58.00,89.50,37.50,70.90,6.00
0,93.30,57.20,89.50,39.00,77.20,9.00
0,94.90,55.60,92.00,35.50,71.70,5.00
1,95.10,59.90,89.50,36.00,71.00,5.00
1,95.40,57.60,91.50,36.00,74.30,3.00
1,92.90,57.60,85.50,34.00,69.70,5.00
1,91.60,56.00,86.00,34.50,73.00,4.00
0,94.70,67.70,89.50,36.50,73.20,1.00
1,93.50,55.70,90.00,36.00,73.70,2.00
0,94.40,55.40,90.50,35.00,73.40,5.00
0,94.80,56.30,89.00,38.00,73.80,4.00
0,95.90,58.10,96.50,39.50,77.90,3.00
1,96.30,58.50,91.00,39.50,73.50,3.00
0,92.50,56.10,89.00,36.00,72.80,4.00
1,94.40,54.90,84.00,34.00,75.00,2.00
1,95.80,58.50,91.50,35.50,72.30,3.00
1,96.00,59.00,90.00,36.00,73.60,7.00
0,90.50,54.50,85.00,35.00,70.30,2.00
1,93.80,56.80,87.00,34.50,73.20,4.00
0,92.80,56.00,88.00,35.00,74.90,3.00
0,92.10,54.40,84.00,33.50,70.60,2.00
1,92.80,54.10,93.00,37.00,68.00,3.00
0,94.30,56.70,94.00,39.00,74.80,4.00
1,91.40,54.60,89.00,37.00,70.80,3.00
1,90.60,55.70,85.50,36.50,73.10,2.00
1,94.40,57.90,85.00,35.50,71.20,4.00
1,93.30,59.30,88.00,35.00,74.30,7.00
0,89.30,54.80,82.50,35.00,71.20,2.00
1,92.40,56.00,80.50,35.50,68.40,7.00
0,84.70,51.50,75.00,34.00,68.70,1.00
0,91.00,55.00,84.50,36.00,72.80,3.00
1,85.30,54.10,77.00,32.00,62.70,3.00
0,90.00,55.50,81.00,32.00,72.00,2.00
1,90.70,55.90,81.00,34.00,71.50,3.00
1,90.10,54.80,89.00,37.50,66.00,2.00
1,98.60,63.20,85.00,34.00,66.90,5.00
1,95.40,59.20,85.00,37.00,69.00,4.00
0,91.60,56.40,88.00,38.00,65.00,5.00
0,95.60,59.60,85.00,36.00,64.00,5.00
1,97.60,61.00,93.50,40.00,67.90,6.00
0,93.10,58.10,91.00,38.00,67.40,3.00
1,96.90,63.00,91.50,43.00,71.30,7.00
1,103.10,63.20,92.50,38.00,72.50,2.00
1,99.90,61.50,93.70,38.00,68.70,3.00
0,95.10,59.40,93.00,41.00,67.20,4.00
1,94.50,64.20,91.00,39.00,66.50,3.00
1,102.50,62.80,96.00,40.00,73.20,2.00
0,91.30,57.70,88.00,39.00,63.10,2.00
1,95.70,59.00,86.00,38.00,63.10,7.00
0,91.30,58.00,90.50,39.00,65.50,3.00
0,92.00,56.40,88.50,38.00,64.10,6.00
0,96.90,56.50,89.50,38.50,63.00,3.00
0,93.50,57.40,88.50,38.00,68.20,5.00
0,90.40,55.80,86.00,36.50,63.20,3.00
1,93.30,57.60,85.00,36.50,64.70,4.00
1,94.10,56.00,88.50,38.00,65.90,5.00
1,98.00,55.60,88.00,37.50,65.00,5.00
0,91.90,56.40,87.00,38.00,65.40,7.00
1,92.80,57.60,90.00,40.00,65.70,6.00
1,85.90,52.40,80.50,35.00,62.00,1.00
1,82.50,52.30,82.00,36.50,65.70,1.00
0,88.70,52.00,83.00,38.00,61.50,4.00
1,93.80,58.10,89.00,38.00,66.20,6.00
1,92.40,56.80,89.00,41.00,64.50,5.00
1,93.60,56.20,84.00,36.00,62.80,6.00
1,86.50,51.00,81.00,36.50,63.00,1.00
1,85.80,50.00,81.00,36.50,62.80,1.00
1,86.70,52.60,84.00,38.00,62.30,1.00
1,90.60,56.00,85.50,38.00,65.60,3.00
0,86.00,54.00,82.00,36.50,60.70,4.00
0,90.00,53.80,81.50,36.00,62.00,3.00
1,88.40,54.60,80.50,36.00,62.60,3.00
1,89.50,56.20,92.00,40.50,65.60,3.00
0,88.20,53.20,86.50,38.50,60.30,3.00
1,98.50,60.70,93.00,41.50,71.70,2.00
0,89.60,58.00,87.50,38.00,66.70,2.00
1,97.70,58.40,84.50,35.00,64.40,6.00
1,92.60,54.60,85.00,38.50,69.80,3.00
1,97.80,59.60,89.00,38.00,65.50,3.00
1,90.70,56.30,85.00,37.00,67.60,2.00
1,89.20,54.00,82.00,38.00,63.80,3.00
1,91.80,57.60,84.00,35.50,64.20,7.00
1,91.60,56.60,88.50,37.50,64.50,4.00
1,94.80,55.70,83.00,38.00,66.50,4.00
1,91.00,53.10,86.00,38.00,63.80,3.00
1,93.20,68.60,84.00,35.00,65.60,5.00
0,93.30,56.20,86.50,38.50,64.80,3.00
1,89.50,56.00,81.50,36.50,66.00,1.00
1,88.60,54.70,82.50,39.00,64.40,1.00
0,92.40,55.00,89.00,38.00,63.50,6.00
1,91.50,55.20,82.50,36.50,62.90,4.00
0,93.60,59.90,89.00,40.00,67.60,3.00
